;Days after planting;Reference Evapotranspiration;Culture Evapotranspiration;Rainfall;Soil Moisture;Irrigation FAO;Irrigation Fuzzy
;;mm/day;mm/day;mm/day;%/day;mm/day;mm/day
Date;dap;eto;etc;rf;sm;irr_fao;irr_fuzzy
01/08/2020;19;3,46869;3,87106;0;25,05;3,63774;8,7
02/08/2020;20;3,50053;3,89959;0;29,4;3,87106;1,4
03/08/2020;21;3,48111;3,87447;0;29,3;3,89959;1,4
04/08/2020;22;3,59008;3,98858;0;29,1;3,87447;1,5
05/08/2020;23;3,71831;4,12361;0;29;3,98858;1,5
06/08/2020;24;3,78812;4,19724;0;28,7;4,12361;1,6
07/08/2020;25;3,61825;4,00179;0;28,5;4,19724;1,6
08/08/2020;26;3,85231;4,25295;0;28,5;4,00179;1,6
09/08/2020;27;3,65434;4,02709;0;28,4;4,25295;1,6
10/08/2020;28;3,84092;4,22885;0;28,2;4,02709;1,6
11/08/2020;29;3,89409;4,27961;0;28,1;4,22885;1,7
12/08/2020;30;4,542;4,95079;0;28,1;4,27961;1,7
13/08/2020;31;5,36911;5,79864;0;28,3;4,95079;1,6
14/08/2020;32;4,88778;5,22993;0;26;5,79864;2,9
15/08/2020;33;4,88132;5,1742;0;25,7;5,22993;3
16/08/2020;34;4,0348;4,23654;0;25,625;5,1742;3
17/08/2020;35;3,82933;3,9825;28,45;29,7;4,23654;3
18/08/2020;36;4,41539;4,54785;7,37;28,55;0;3
19/08/2020;37;4,81497;4,93127;0;28,5;0;2,9
20/08/2020;38;4,23667;4,27904;0;28;0;2,9
21/08/2020;39;2,58262;2,58262;10,92;28,35;4,27904;3
22/08/2020;40;2,78969;2,7618;0,25;27,15;0;3,3
23/08/2020;41;3,89907;3,82109;0;26,5;0;3,2
24/08/2020;42;4,05789;3,93615;0;26,85;0;3,2
25/08/2020;43;4,169;4,00224;0;26,7;3,93615;3,2
26/08/2020;44;4,62274;4,3916;0;26,8;4,00224;3,2
27/08/2020;45;4,7648;4,47892;0;26,35;4,3916;3,2
28/08/2020;46;5,14007;4,78026;0;26,4;4,47892;4
29/08/2020;47;5,15232;4,74013;0;26,5;4,78026;3,2
30/08/2020;48;5,58178;5,07942;0;26,75;4,74013;4,8
31/08/2020;49;5,09217;4,58295;0;26,3;5,07942;3,2
01/09/2020;50;4,86431;4,32923;0;26,55;4,58295;3,2
02/09/2020;51;5,01744;4,41535;0;26;4,32923;3,2
03/09/2020;52;4,81734;4,19109;0;26,1;4,19109;3,2
04/09/2020;53;4,71548;4,05531;0;25,95;4,19109;4
