;Days after planting;Reference Evapotranspiration;Crop Evapotranspiration;Rainfall;Soil Moisture;Irrigation FAO;Irrigation Fuzzy
;;mm/day;mm/day;mm/day;%/day;mm/day;mm/day
Date;dap;eto;etc;rf;sm;irr_fao;irr_fuzzy
20/01/2020;0;3,7;0,0;0;30,1;0;3
21/01/2020;1;3,8;3,8;0;30,1;4,3;3
22/01/2020;2;3,8;7,6;0;30,0;4,4;1,8
23/01/2020;3;3,3;9,9;8,13;31,8;4,3;2,4
24/01/2020;4;3,5;14,0;5,33;30,9;0;2,9
25/01/2020;5;3,7;18,5;0;30,7;0;2,9
26/01/2020;6;3,8;22,8;0;30,0;4,2;3,1
27/01/2020;7;3,9;27,3;0;29,4;4,4;3,1
28/01/2020;8;3,9;31,2;4,32;29,2;4,5;1,8
29/01/2020;9;4,2;37,8;1,02;28,5;0;1,6
30/01/2020;10;4,1;41,0;4,32;32,0;0;1,2
31/01/2020;11;4,3;47,3;0;31,5;0;1,5
01/02/2020;12;4,0;48,0;9,65;31,1;4,8;1,5
02/02/2020;13;3,8;49,4;41,66;31,2;0;1,5
03/02/2020;14;3,5;49,0;19,56;32,5;0;1,8
04/02/2020;15;3,6;54,0;5,59;35,3;0;0,4
05/02/2020;16;3,5;56,0;0;35,3;0;0,4
06/02/2020;17;4,1;69,7;0,25;35,5;0;0,4
07/02/2020;18;3,8;68,4;44,96;34,9;4,6;0,4
08/02/2020;19;4,2;79,8;2,21;32,7;0;1,5
09/02/2020;20;3,8;76,0;5,33;34,7;0;0,4
10/02/2020;21;3,2;67,2;7,29;34,7;0;0,4
11/02/2020;22;3,4;74,8;2,03;34,7;0;0,4
12/02/2020;23;3,3;75,9;0;35,0;0;0,4
13/02/2020;24;3,8;91,2;2,79;34,4;0;0,4
14/02/2020;25;3,8;95,0;0;34,7;0;0,4
15/02/2020;26;4,1;106,6;0;35,8;0;0,4
16/02/2020;27;3,9;105,3;0;36,6;4,5;0,4
17/02/2020;28;4,0;112,0;0;36,0;4,3;0,4
18/02/2020;29;4,0;116,0;21,59;35,8;4,4;0,4
19/02/2020;30;4,0;120,0;30,48;38,1;0;0,4
20/02/2020;31;3,6;111,6;0;44,0;0;0,4
21/02/2020;32;3,3;105,6;1,78;45,6;0;0,4
22/02/2020;33;3,1;102,3;3,56;48,9;0;0,4
23/02/2020;34;3,2;108,8;0,25;50,2;0;0,4
24/02/2020;35;3,5;122,5;3,15;45,3;0;0,4
25/02/2020;36;3,6;129,6;4,14;45,9;0;0,4
26/02/2020;37;3,3;122,1;35,31;37,7;0;0,4
